,country,year,Adjusted savings: mineral depletion (current US$),Adjusted savings: energy depletion (current US$),Population (Total),Population growth (annual %),Urban population (% of total),Rural population (% of total population),Urban population,Rural population,Urban population growth (annual %),Population density (people per sq. km of land area),Urban_Pop_5_Years_Future
0,Afghanistan,1972,0.0,22330650.3431179,11644377.0,2.79479591384902,11.9298,88.0702,1389151.0,10255226.0,6.634619716336892,17.853176026861693,1855690
1,Afghanistan,1973,0.0,26541455.5281035,11966352.0,2.7275308666557097,12.3792,87.6208,1481339.0,10485013.0,6.425363931783839,18.346828572742744,1942479
2,Afghanistan,1974,0.0,66064615.895813294,12273589.0,2.5351006774156,12.8286,87.1714,1574530.0,10699059.0,6.1010406560759165,18.817884795240946,2014500
3,Afghanistan,1975,0.0,68821836.1580884,12551790.0,2.24135668993182,13.277999999999999,86.72200000000001,1666627.0,10885163.0,5.684500843751166,19.244422979623753,2066033
4,Afghanistan,1976,0.0,64636353.5291449,12806810.0,2.01137758078773,13.7574,86.2426,1761884.0,11044926.0,5.558186758482221,19.6354200205449,2064276
5,Afghanistan,1977,0.0,72522073.6463605,13034460.0,1.7619558902719,14.2368,85.7632,1855690.0,11178770.0,5.187290348397883,19.984453337013022,2043225
6,Afghanistan,1978,0.0,85846042.6048343,13199597.0,1.25896792233923,14.7162,85.2838,1942479.0,11257118.0,4.570839783885026,20.23764162948653,2010149
7,Afghanistan,1979,0.0,112165139.129832,13257128.0,0.434907122332274,15.1956,84.8044,2014500.0,11242628.0,3.6406033258847588,20.325848243717708,1975930
8,Afghanistan,1980,0.0,163850780.513447,13180431.0,-0.5802140444649899,15.675,84.325,2066033.0,11114398.0,2.5259317815098767,20.208256289959067,1950357
9,Afghanistan,1981,0.0,173273012.16643602,12963788.0,-1.65732974337951,15.9234,84.0766,2064276.0,10899512.0,-0.0850783854661318,19.87609892215936,1933198
10,Afghanistan,1982,0.0,168310701.26350302,12634494.0,-2.57292396170168,16.1718,83.8282,2043225.0,10591269.0,-1.0250117679727908,19.37122487466078,1926419
11,Afghanistan,1983,0.0,163019872.19358602,12241928.0,-3.15639115314434,16.4202,83.5798,2010149.0,10231779.0,-1.632059325320086,18.76934210324579,1945067
12,Afghanistan,1984,0.0,166011081.628925,11854205.0,-3.21841240630323,16.6686,83.3314,1975930.0,9878275.0,-1.71696750797957,18.17488462658878,2008552
13,Afghanistan,1985,0.0,158235910.845658,11528977.0,-2.78190516770025,16.917,83.083,1950357.0,9578620.0,-1.3026740854780172,17.676244576299773,2130033
14,Afghanistan,1986,0.0,141469866.023004,11262439.0,-2.33903985640474,17.165,82.83500000000002,1933198.0,9329241.0,-0.8836806308048013,17.267588120754947,2319834
