,country,year,World bank region,"World bank, 4 income groups 2017",Adjusted savings: mineral depletion (current US$),Adjusted savings: energy depletion (current US$),Population (Total),Population growth (annual %),Population density (people per sq. km of land area),Rural population (% of total population),Urban population (% of total),Rural population,Urban population,Urban population growth (annual %),Urban population 5 years in the future
0,Afghanistan,1972,South Asia,Low income,0.0,22330650.3431179,11644377.0,2.79479591384902,17.853176026861693,88.0702,11.9298,10255226.0,1389151.0,6.634619716336892,1855690
1,Afghanistan,1973,South Asia,Low income,0.0,26541455.5281035,11966352.0,2.7275308666557097,18.346828572742744,87.6208,12.3792,10485013.0,1481339.0,6.425363931783839,1942479
2,Afghanistan,1974,South Asia,Low income,0.0,66064615.895813294,12273589.0,2.5351006774156,18.817884795240946,87.1714,12.8286,10699059.0,1574530.0,6.1010406560759165,2014500
3,Afghanistan,1975,South Asia,Low income,0.0,68821836.1580884,12551790.0,2.24135668993182,19.244422979623753,86.72200000000001,13.277999999999999,10885163.0,1666627.0,5.684500843751166,2066033
4,Afghanistan,1976,South Asia,Low income,0.0,64636353.5291449,12806810.0,2.01137758078773,19.6354200205449,86.2426,13.7574,11044926.0,1761884.0,5.558186758482221,2064276
5,Afghanistan,1977,South Asia,Low income,0.0,72522073.6463605,13034460.0,1.7619558902719,19.984453337013022,85.7632,14.2368,11178770.0,1855690.0,5.187290348397883,2043225
6,Afghanistan,1978,South Asia,Low income,0.0,85846042.6048343,13199597.0,1.25896792233923,20.23764162948653,85.2838,14.7162,11257118.0,1942479.0,4.570839783885026,2010149
7,Afghanistan,1979,South Asia,Low income,0.0,112165139.129832,13257128.0,0.434907122332274,20.325848243717708,84.8044,15.1956,11242628.0,2014500.0,3.6406033258847588,1975930
8,Afghanistan,1980,South Asia,Low income,0.0,163850780.513447,13180431.0,-0.5802140444649899,20.208256289959067,84.325,15.675,11114398.0,2066033.0,2.5259317815098767,1950357
9,Afghanistan,1981,South Asia,Low income,0.0,173273012.16643602,12963788.0,-1.65732974337951,19.87609892215936,84.0766,15.9234,10899512.0,2064276.0,-0.0850783854661318,1933198
10,Afghanistan,1982,South Asia,Low income,0.0,168310701.26350302,12634494.0,-2.57292396170168,19.37122487466078,83.8282,16.1718,10591269.0,2043225.0,-1.0250117679727908,1926419
